stop_id,stop_lat,stop_lon,stop_name,nearest_washroom_id,washroom_latitude,washroom_longitude,distance,washroom_address
13989.0,28.5662,77.1891,Bhikaji Kama Place,PTU‐11‐023,28.57022,77.18604,537.690825017712,"PTU at Nauroji Nagar Market, Ring Road"
2380.0,28.566235,77.191514,Safdarjung Enclave,PTU‐11‐024,28.56882,77.19419,388.4779475735107,PTU at Naroji Nagar Mkt.
12162.0,28.566235,77.191514,Safdarjung Enclave,PTU‐11‐024,28.56882,77.19419,388.4779475735107,PTU at Naroji Nagar Mkt.
14790.0,28.566475399999995,77.18927573,Safdarjung E,PTU(Petrol Pump 15),28.570489,77.1863887,527.8874414627164,Shaheed Sudhir Tyagi Marg  Block A  Netaji Nagar  New Delhi  Delhi 110023  India
14816.0,28.5666,77.176,Mohan Singh Market,PTU‐12‐009,28.57064,77.18386,889.3723730075044,"PTU opp. Hyatt Hotal, Palika Bhawan Ring Road"
1058.0,28.566602,77.176331,Mohan Singh Market,PTU‐12‐009,28.57064,77.18386,861.5134584776547,"PTU opp. Hyatt Hotal, Palika Bhawan Ring Road"
10990.0,28.566602,77.176331,Mohan Singh Market,PTU‐12‐009,28.57064,77.18386,861.5134584776547,"PTU opp. Hyatt Hotal, Palika Bhawan Ring Road"
14579.0,28.5668,77.1762,Mohan Singh Market,PTU‐12‐009,28.57064,77.18386,861.3326090423434,"PTU opp. Hyatt Hotal, Palika Bhawan Ring Road"
844.0,28.566983,77.20795,AIIMS,PTU‐13‐005,28.5672355,77.208159,34.71152234622652,PTU outside AIIMS at Aurbindo Marg
1021.0,28.56725,77.207733,Safdurjung Hospital / AIIMS,PTU‐13‐006,28.56739,77.20774,15.582291963492173,PTU outside Safdarjung Hospital at Aurbindo Marg
10954.0,28.56725,77.207733,Safdurjung Hospital / AIIMS,PTU‐13‐006,28.56739,77.20774,15.582291963492173,PTU outside Safdarjung Hospital at Aurbindo Marg
2627.0,28.567988,77.189402,Bhikaji Cama Place,PTU(Petrol Pump 15),28.570489,77.1863887,404.88445278514433,Shaheed Sudhir Tyagi Marg  Block A  Netaji Nagar  New Delhi  Delhi 110023  India
12364.0,28.567988,77.189402,Bhikaji Cama Place,PTU(Petrol Pump 15),28.570489,77.1863887,404.88445278514433,Shaheed Sudhir Tyagi Marg  Block A  Netaji Nagar  New Delhi  Delhi 110023  India
2825.0,28.568081,77.189577,Bhikaji Cama Place,PTU(Petrol Pump 15),28.570489,77.1863887,410.6537632754615,Shaheed Sudhir Tyagi Marg  Block A  Netaji Nagar  New Delhi  Delhi 110023  India
12532.0,28.568081,77.189577,Bhikaji Cama Place,PTU(Petrol Pump 15),28.570489,77.1863887,410.6537632754615,Shaheed Sudhir Tyagi Marg  Block A  Netaji Nagar  New Delhi  Delhi 110023  India
14604.0,28.5681,77.2086,Safderjung Hospital,PTU‐13‐005,28.5672355,77.208159,105.33446411192315,PTU outside AIIMS at Aurbindo Marg
15302.0,28.56828,77.18959,Netaji Nagar,PTU(Petrol Pump 15),28.570489,77.1863887,397.57812939459694,Shaheed Sudhir Tyagi Marg  Block A  Netaji Nagar  New Delhi  Delhi 110023  India
14630.0,28.56830057,77.18938166,Netaji Nagar,PTU(Petrol Pump 15),28.570489,77.1863887,380.3193363408221,Shaheed Sudhir Tyagi Marg  Block A  Netaji Nagar  New Delhi  Delhi 110023  India
3050.0,28.568315,77.18357,RK Puram Crossing,PTU‐12‐009,28.57064,77.18386,260.0747235404957,"PTU opp. Hyatt Hotal, Palika Bhawan Ring Road"
12714.0,28.568315,77.18357,RK Puram Crossing,PTU‐12‐009,28.57064,77.18386,260.0747235404957,"PTU opp. Hyatt Hotal, Palika Bhawan Ring Road"
1710.0,28.568767,77.216767,South Extn Kotla Petrol Pump,PTU‐13‐011,28.56889461,77.212133,452.7612112744777,PTU at AIIMS entry gate at Ring Road.
11572.0,28.568767,77.216767,South Extn Kotla Petrol Pump,PTU‐13‐011,28.56889461,77.212133,452.7612112744777,PTU at AIIMS entry gate at Ring Road.
1407.0,28.568824,77.220684,South Extension,PTU‐13‐011,28.56889461,77.212133,835.0948026621002,PTU at AIIMS entry gate at Ring Road.
11296.0,28.568824,77.220684,South Extension,PTU‐13‐011,28.56889461,77.212133,835.0948026621002,PTU at AIIMS entry gate at Ring Road.
15360.0,28.56886169121176,77.22111078008653,South Ext Kotla Petrol Pump,PTU‐13‐011,28.56889461,77.212133,876.7430843841721,PTU at AIIMS entry gate at Ring Road.
1711.0,28.568921,77.213199,AIIMS,PTU‐13‐011,28.56889461,77.212133,104.14277714495324,PTU at AIIMS entry gate at Ring Road.
11573.0,28.568921,77.213199,AIIMS,PTU‐13‐011,28.56889461,77.212133,104.14277714495324,PTU at AIIMS entry gate at Ring Road.
14729.0,28.568921000000003,77.213199,AIIMS,PTU‐13‐011,28.56889461,77.212133,104.1427771449632,PTU at AIIMS entry gate at Ring Road.
1406.0,28.569014,77.216908,South Extension,PTU‐13‐011,28.56889461,77.212133,466.4967174363241,PTU at AIIMS entry gate at Ring Road.
11295.0,28.569014,77.216908,South Extension,PTU‐13‐011,28.56889461,77.212133,466.4967174363241,PTU at AIIMS entry gate at Ring Road.
2824.0,28.569183,77.191283,Africa Avenue,PTU‐11‐016,28.56983,77.19379,255.17419984825884,"PTU near Shop no. 83, Ring Road  Mkt. Sarojini Nagar"
12531.0,28.569183,77.191283,Africa Avenue,PTU‐11‐016,28.56983,77.19379,255.17419984825884,"PTU near Shop no. 83, Ring Road  Mkt. Sarojini Nagar"
1405.0,28.569185,77.21269,AIIMS Ring Road,PTU‐13‐011,28.56889461,77.212133,63.256519139670615,PTU at AIIMS entry gate at Ring Road.
11294.0,28.569185,77.21269,AIIMS Ring Road,PTU‐13‐011,28.56889461,77.212133,63.256519139670615,PTU at AIIMS entry gate at Ring Road.
1713.0,28.569296245342525,77.19503920771328,Nauroji Nagar,PTU(Petrol Pump 16),28.5699171,77.1950759,69.1288158905258,150  8th Cross Rd  Block G I  Sarojini Nagar  New Delhi  Delhi 110023  India
11575.0,28.569296245342525,77.19503920771328,Nauroji Nagar,PTU(Petrol Pump 16),28.5699171,77.1950759,69.1288158905258,150  8th Cross Rd  Block G I  Sarojini Nagar  New Delhi  Delhi 110023  India
3266.0,28.569397,77.195886,Nauroji Nagar,PTU(Petrol Pump 16),28.5699171,77.1950759,97.99537095491824,150  8th Cross Rd  Block G I  Sarojini Nagar  New Delhi  Delhi 110023  India
12873.0,28.569397,77.195886,Nauroji Nagar,PTU(Petrol Pump 16),28.5699171,77.1950759,97.99537095491824,150  8th Cross Rd  Block G I  Sarojini Nagar  New Delhi  Delhi 110023  India
15530.0,28.569483,77.20451700000002,SJ Hospital,PTU‐13‐010,28.56947,77.204,50.50863222135234,PTU opp. Safdarjung Hospital Gate at Ring Road
1810.0,28.5695,77.2014,Raj Nagar,PTU‐13‐010,28.56947,77.204,253.92643956694667,PTU opp. Safdarjung Hospital Gate at Ring Road
11664.0,28.5695,77.2014,Raj Nagar,PTU‐13‐010,28.56947,77.204,253.92643956694667,PTU opp. Safdarjung Hospital Gate at Ring Road
1712.0,28.569541,77.203522,SJ Hospital Ring Road,PTU‐13‐010,28.56947,77.204,47.34227812822436,PTU opp. Safdarjung Hospital Gate at Ring Road
11574.0,28.569541,77.203522,SJ Hospital Ring Road,PTU‐13‐010,28.56947,77.204,47.34227812822436,PTU opp. Safdarjung Hospital Gate at Ring Road
2628.0,28.569595,77.191332,Africa Avenue,PTU‐11‐016,28.56983,77.19379,241.45504652242568,"PTU near Shop no. 83, Ring Road  Mkt. Sarojini Nagar"
12365.0,28.569595,77.191332,Africa Avenue,PTU‐11‐016,28.56983,77.19379,241.45504652242568,"PTU near Shop no. 83, Ring Road  Mkt. Sarojini Nagar"
2107.0,28.569619,77.195401,Nauroji Nagar,PTU(Petrol Pump 16),28.5699171,77.1950759,45.89833060021337,150  8th Cross Rd  Block G I  Sarojini Nagar  New Delhi  Delhi 110023  India
11913.0,28.569619,77.195401,Nauroji Nagar,PTU(Petrol Pump 16),28.5699171,77.1950759,45.89833060021337,150  8th Cross Rd  Block G I  Sarojini Nagar  New Delhi  Delhi 110023  India
14789.0,28.56965,77.19145,Africa Avenue,PTU‐11‐016,28.56983,77.19379,229.38838844201535,"PTU near Shop no. 83, Ring Road  Mkt. Sarojini Nagar"
4109.0,28.569651,77.201526,Raj Nagar,PTU‐13‐010,28.56947,77.204,242.43660252405613,PTU opp. Safdarjung Hospital Gate at Ring Road
13473.0,28.569651,77.201526,Raj Nagar,PTU‐13‐010,28.56947,77.204,242.43660252405613,PTU opp. Safdarjung Hospital Gate at Ring Road
5113.0,28.5697,77.1897,Hyatt Regency,PTU‐11‐021,28.5728,77.19005,346.39461822596365,"PTU near Gwalior Pottries, Africa Avenue,"
1714.0,28.569743,77.186793,Hyatt Hotel (GAIL),PTU(Petrol Pump 15),28.570489,77.1863887,91.86816140735982,Shaheed Sudhir Tyagi Marg  Block A  Netaji Nagar  New Delhi  Delhi 110023  India
11576.0,28.569743,77.186793,Hyatt Hotel (GAIL),PTU(Petrol Pump 15),28.570489,77.1863887,91.86816140735982,Shaheed Sudhir Tyagi Marg  Block A  Netaji Nagar  New Delhi  Delhi 110023  India
2108.0,28.569786,77.204402,SJ Hospital,PTU‐13‐010,28.56947,77.204,52.68587521382601,PTU opp. Safdarjung Hospital Gate at Ring Road
11914.0,28.569786,77.204402,SJ Hospital,PTU‐13‐010,28.56947,77.204,52.68587521382601,PTU opp. Safdarjung Hospital Gate at Ring Road
14669.0,28.5698,77.186,Hyatt Hotel (GAIL),PTU‐11‐023,28.57022,77.18604,46.86494442105588,"PTU at Nauroji Nagar Market, Ring Road"
14730.0,28.569858823902887,77.18614398501809,R K Puram M,PTU‐11‐023,28.57022,77.18604,41.424860723244265,"PTU at Nauroji Nagar Market, Ring Road"
14578.0,28.56995374148716,77.17296302318573,R K Puram Sec 10,CTU‐12‐001,28.57757,77.1778,969.7036970746937,"CTU at Shankar Camp, Moti Bagh (No‐I)"
2383.0,28.570024,77.201105,Raj Nagar,PTU‐11‐005,28.5721,77.2,254.81661759643416,PTU near Suvidha Market Sarojini Nagar
12165.0,28.570024,77.201105,Raj Nagar,PTU‐11‐005,28.5721,77.2,254.81661759643416,PTU near Suvidha Market Sarojini Nagar
4357.0,28.5701,77.1731,R K Puram Sec-7 Xing,CTU‐12‐001,28.57757,77.1778,948.9921490652893,"CTU at Shankar Camp, Moti Bagh (No‐I)"
13623.0,28.5701,77.1731,R K Puram Sec-7 Xing,CTU‐12‐001,28.57757,77.1778,948.9921490652893,"CTU at Shankar Camp, Moti Bagh (No‐I)"
2466.0,28.570143,77.185598,Hyatt Hotel,PTU‐11‐023,28.57022,77.18604,44.004480953136,"PTU at Nauroji Nagar Market, Ring Road"
12233.0,28.570143,77.185598,Hyatt Hotel,PTU‐11‐023,28.57022,77.18604,44.004480953136,"PTU at Nauroji Nagar Market, Ring Road"
15284.0,28.5702,77.173167,RK Puram Sec-10,CTU‐12‐001,28.57757,77.1778,936.0952993679392,"CTU at Shankar Camp, Moti Bagh (No‐I)"
4294.0,28.5702,77.1857,Hyatt Hotel,PTU‐11‐023,28.57022,77.18604,33.277065376341824,"PTU at Nauroji Nagar Market, Ring Road"
13593.0,28.5702,77.1857,Hyatt Hotel,PTU‐11‐023,28.57022,77.18604,33.277065376341824,"PTU at Nauroji Nagar Market, Ring Road"
1057.0,28.570222,77.17311,RK Puram Sec-10,CTU‐12‐001,28.57757,77.1778,936.6633805845448,"CTU at Shankar Camp, Moti Bagh (No‐I)"
10989.0,28.570222,77.17311,RK Puram Sec-10,CTU‐12‐001,28.57757,77.1778,936.6633805845448,"CTU at Shankar Camp, Moti Bagh (No‐I)"
1715.0,28.5705,77.1826,RK Puram Sec-12,PTU‐12‐009,28.57064,77.18386,124.02562729254804,"PTU opp. Hyatt Hotal, Palika Bhawan Ring Road"
11577.0,28.5705,77.1826,RK Puram Sec-12,PTU‐12‐009,28.57064,77.18386,124.02562729254804,"PTU opp. Hyatt Hotal, Palika Bhawan Ring Road"
3053.0,28.570577,77.172762,R K Puram Sec-7,CTU‐12‐001,28.57757,77.1778,920.147864159875,"CTU at Shankar Camp, Moti Bagh (No‐I)"
12717.0,28.570577,77.172762,R K Puram Sec-7,CTU‐12‐001,28.57757,77.1778,920.147864159875,"CTU at Shankar Camp, Moti Bagh (No‐I)"
1811.0,28.570583,77.199117,AB Block Sarojini Nagar,PTU‐11‐005,28.5721,77.2,189.44441128911336,PTU near Suvidha Market Sarojini Nagar
11665.0,28.570583,77.199117,AB Block Sarojini Nagar,PTU‐11‐005,28.5721,77.2,189.44441128911336,PTU near Suvidha Market Sarojini Nagar
14817.0,28.5706,77.1727,R K Puram Sec-7,CTU‐12‐001,28.57757,77.1778,921.2464514407326,"CTU at Shankar Camp, Moti Bagh (No‐I)"
14572.0,28.570651955760432,77.17289060354233,R K Puram Sec-7,CTU‐12‐001,28.57757,77.1778,906.4108655065954,"CTU at Shankar Camp, Moti Bagh (No‐I)"
4212.0,28.57125,77.199283,AB Block Sarojini Nagar,PTU‐11‐005,28.5721,77.2,117.62516457947372,PTU near Suvidha Market Sarojini Nagar
13538.0,28.57125,77.199283,AB Block Sarojini Nagar,PTU‐11‐005,28.5721,77.2,117.62516457947372,PTU near Suvidha Market Sarojini Nagar
22137.0,28.5713,77.1707,RK Puram Sec-9,CTU‐12‐001,28.57757,77.1778,983.2458557691598,"CTU at Shankar Camp, Moti Bagh (No‐I)"
15368.0,28.5713,77.1707,RK Puram Sec-9,CTU‐12‐001,28.57757,77.1778,983.2458557691598,"CTU at Shankar Camp, Moti Bagh (No‐I)"
2106.0,28.57133,77.181727,RK Puram Sec 13,PTU‐12‐009,28.57064,77.18386,221.97756262964853,"PTU opp. Hyatt Hotal, Palika Bhawan Ring Road"
11912.0,28.57133,77.181727,RK Puram Sec 13,PTU‐12‐009,28.57064,77.18386,221.97756262964853,"PTU opp. Hyatt Hotal, Palika Bhawan Ring Road"
